"X" "date" "Rl_downwell" "AT_mbar" "Rs_downwell" "rH" "T_b_1477" "D_g_1477" "F_1_s_g_1477" "Rnet"
"14755" "2017-08-03 00:00:00" 324.12634182681 872.825505344893 -5.5983439575876 81.3140770352331 5.5672346252239 111.774365079365 1.73107780082527 -15.4343000856078
"14756" "2017-08-03 00:30:00" 326.260588159041 872.751661121522 -5.28098125380402 81.2929286395702 5.61780165143882 115.68400142296 0.945166252805368 -14.8850106406301
"14757" "2017-08-03 01:00:00" 328.126290842202 872.777576614425 -5.02419641758135 81.9482959084894 5.57490721801736 132.164966931217 0.955019373296004 -13.2165453162053
"14758" "2017-08-03 01:30:00" 329.33105381196 872.647743752679 -5.29975729913733 82.2405500340707 5.6944784826474 125.869388728555 1.47383081208871 -11.5035949677881
"14759" "2017-08-03 02:00:00" 326.201117724566 872.422133009519 -5.7817061893334 80.6086413840787 5.77478543561089 111.553342953343 1.92773512405756 -14.0757325877206
"14760" "2017-08-03 02:30:00" 321.089697204095 872.156000901435 -5.74539694386627 81.0216339977152 5.69609354307332 119.007708132916 1.52142108786231 -19.0117528573899
"14761" "2017-08-03 03:00:00" 313.049542183281 872.023623790153 -5.77982032154912 81.9632532728074 5.49491455878646 109.811459435626 2.65980042889165 -24.4606195613983
"14762" "2017-08-03 03:30:00" 264.979963185847 871.896162669898 -0.230404791827329 82.5483495069745 5.16738658259521 101.25674132195 2.52973715628463 -62.4065995996166
"14763" "2017-08-03 04:00:00" 253.311829868978 871.712370896243 15.2746295954884 83.6874302549303 4.60014988556577 95.9963900913901 3.20515821408487 -59.0035389038145
"14764" "2017-08-03 04:30:00" 257.939286855591 871.63146553618 40.4514372732761 84.8357025713485 4.53584838764924 104.927877184544 3.78542741201658 -36.9856670778667
"14765" "2017-08-03 05:00:00" 261.261412766936 871.583157985709 91.1479207244097 83.9230603856021 4.85820200246895 98.6818362193362 3.33518702000116 1.24883832258587
"14766" "2017-08-03 05:30:00" 258.084653582111 871.510953960872 131.32133942497 81.7181320185987 5.11039991763271 84.5804341029341 3.04991366943196 25.292877745728
"14767" "2017-08-03 06:00:00" 263.622156937469 871.382622839389 229.128040987434 78.2235522306398 5.63107353064834 123.121818181818 3.4849933611908 100.166100740364
"14768" "2017-08-03 06:30:00" 257.495820321197 871.132877756411 251.727952362094 75.8813212391775 5.83586881914818 142.249900593234 3.73697374338576 112.286018696915
"14769" "2017-08-03 07:00:00" 273.766375781476 870.941551743563 319.214391709335 72.7205232613838 6.31582264179884 143.934733746192 4.2673669302144 176.400431298625
"14770" "2017-08-03 07:30:00" 284.399642976731 870.780593093752 483.564761058612 66.7223249919834 7.10957549413223 134.224688852814 6.80917109387479 310.034595508591
"14771" "2017-08-03 08:00:00" 318.01050858568 870.557632220478 241.477592880219 69.7786129198734 6.91848960317784 129.260331289081 6.78538582551666 162.558250657715
"14772" "2017-08-03 08:30:00" 319.863749969677 870.072928521036 291.895260305916 68.4465117193763 7.30218894140218 112.834719316178 7.62238772446642 203.807261634715
"14773" "2017-08-03 09:00:00" 311.434730927459 869.738036983247 555.071761417728 65.2011258718133 7.98509902657887 120.158508998717 8.44427322931652 395.507283051724
"14774" "2017-08-03 09:30:00" 319.264610816348 869.393715489489 431.970050121171 67.3100798911736 8.13070877866331 125.859389931057 9.14032238255525 307.022812110975
"14775" "2017-08-03 10:00:00" 326.377830818212 869.214118728178 218.191259556777 68.4077094616803 8.10082979397559 124.862533469617 8.7872460858581 150.016699071674
"14776" "2017-08-03 10:30:00" 337.523291599949 868.97791998742 149.007395203701 67.4648415604457 8.08276797519229 120.212947731281 8.80234401454981 107.371920244188
"14777" "2017-08-03 11:00:00" 338.91064924453 868.717979643632 87.1956816734451 68.3978418350169 8.00900296336789 113.782171316338 9.82951538199407 62.6420234935072
"14778" "2017-08-03 11:30:00" 339.277032171938 868.342652836793 122.762224927122 70.2916272446689 8.05263957231406 109.420751362835 10.2815278489253 91.930224140672
"14779" "2017-08-03 12:00:00" 339.57228631286 868.076426798274 100.02376410295 70.8171744207951 8.33050803171016 116.718642576559 9.81086259118917 72.2264321458796
"14780" "2017-08-03 12:30:00" 338.564703129067 867.652045053174 145.345383028198 70.2222164552266 8.43994640612951 119.817163299663 10.7151419723019 107.864275785748
"14781" "2017-08-03 13:00:00" 338.524622950648 867.294114029626 132.402821445987 73.4817194634837 8.08670773088436 120.744194825236 10.0918910203218 97.7567722660815
"14782" "2017-08-03 13:30:00" 340.559484839156 867.135551943556 78.6118558943166 79.8873396143976 7.52225993136093 121.349392235851 9.43958980479352 57.680579981052
"14783" "2017-08-03 14:00:00" 339.880386200408 866.806506642752 159.300785908102 83.2263439033186 7.19559691208075 120.937461419753 9.30486473665179 122.730941384665
"14784" "2017-08-03 14:30:00" 340.28673697574 866.560923168209 94.776132705191 83.041451691518 7.02771331970903 119.393620230079 9.89523668530497 71.8247783027916
"14785" "2017-08-03 15:00:00" 341.736831826079 866.386067618621 72.8081499841492 84.6427581970495 7.01139876754078 119.731162718454 8.04541763668384 55.1699325574403
"14786" "2017-08-03 15:30:00" 341.104716284292 866.046110152299 57.9733731681039 85.5894912918868 6.94965646054226 112.05671957672 9.19671956168785 43.6087241484694
"14787" "2017-08-03 16:00:00" 337.048853934133 865.777416409057 51.8393217262212 85.1252315917105 6.69803597553392 117.235556357223 9.20861731100643 36.0958452554832
"14788" "2017-08-03 16:30:00" 338.197363460307 865.473128779664 39.7828297135591 84.8412829685743 6.75920451890374 114.949964325798 9.59886981521519 27.1050712258822
